strategy_name,term,entry_mode,symbol,name,listing_date,unlock_date,reason,query_start,query_end,prev_close_vs_ipo,threshold,daily_rows,daily_min,daily_max,target_entry_date,entry_idx,exit_idx
3M_close_midhold,3M,close,459550,알트,2025-11-17,2026-02-17,ipo_price_missing_for_prev_filter,20260128,20260522,,,,,,,,
3M_close_midhold,3M,close,403850,더핑크퐁컴퍼니,2025-11-18,2026-02-18,prev_close_vs_ipo_below_min,20260129,20260523,0.5868421052631579,2.0,,,,,,
3M_close_midhold,3M,close,403810,아이엘로보틱스,2025-11-18,2026-02-18,ipo_price_missing_for_prev_filter,20260129,20260523,,,,,,,,
3M_close_midhold,3M,close,388210,씨엠티엑스,2025-11-20,2026-02-20,exit_out_of_range,20260131,20260525,,,30.0,,,,11.0,43.0
3M_close_midhold,3M,close,488900,비츠로넥스텍,2025-11-21,2026-02-21,exit_out_of_range,20260201,20260526,,,30.0,,,,12.0,44.0
3M_close_midhold,3M,close,000126,삼성에피스홀딩스,2025-11-24,2026-02-24,daily_empty_symbol,20260204,20260529,,,,,,,,
3M_close_midhold,3M,close,000120,삼양바이오팜,2025-11-24,2026-02-24,ipo_price_missing_for_prev_filter,20260204,20260529,,,,,,,,
3M_close_midhold,3M,close,000015,아로마티카,2025-11-27,2026-02-27,daily_empty_symbol,20260207,20260601,,,,,,,,
3M_close_midhold,3M,close,000009,에임드바이오,2025-12-04,2026-03-04,daily_empty_symbol,20260212,20260606,,,,,,,,
3M_close_midhold,3M,close,950250,테라뷰,2025-12-09,2026-03-09,prev_close_vs_ipo_below_min,20260217,20260611,0.84,2.0,,,,,,
3M_close_midhold,3M,close,000015,페스카로,2025-12-10,2026-03-10,daily_empty_symbol,20260218,20260612,,,,,,,,
3M_close_midhold,3M,close,261520,이지스,2025-12-11,2026-03-11,prev_close_vs_ipo_below_min,20260219,20260613,0.5913333333333334,2.0,,,,,,
3M_close_midhold,3M,close,464490,쿼드메디슨,2025-12-12,2026-03-12,prev_close_vs_ipo_below_min,20260220,20260614,1.046,2.0,,,,,,
3M_close_midhold,3M,close,217590,티엠씨,2025-12-15,2026-03-15,prev_close_vs_ipo_below_min,20260223,20260617,1.656989247311828,2.0,,,,,,
3M_close_midhold,3M,close,000007,아크릴,2025-12-16,2026-03-16,daily_empty_symbol,20260224,20260618,,,,,,,,
3M_close_midhold,3M,close,478340,나라스페이스테크놀로지,2025-12-17,2026-03-17,exit_out_of_range,20260225,20260619,,,16.0,,,,13.0,45.0
3M_close_midhold,3M,close,476830,알지노믹스,2025-12-18,2026-03-18,exit_out_of_range,20260226,20260620,,,15.0,,,,13.0,45.0
3M_close_midhold,3M,close,000013,삼진식품,2025-12-22,2026-03-22,daily_empty_symbol,20260302,20260624,,,,,,,,
3M_close_midhold,3M,close,059180,엔더블유시,2025-12-22,2026-03-22,entry_not_found,20260302,20260624,,,13.0,2026-03-03,2026-03-19,2026-03-22,,
3M_close_midhold,3M,close,491000,리브스메드,2025-12-24,2026-03-24,entry_not_found,20260304,20260626,,,12.0,2026-03-04,2026-03-19,2026-03-24,,
3M_close_midhold,3M,close,012210,삼미금속,2025-12-29,2026-03-29,entry_not_found,20260309,20260701,,,9.0,2026-03-09,2026-03-19,2026-03-29,,
3M_close_midhold,3M,close,490470,세미파이브,2025-12-29,2026-03-29,entry_not_found,20260309,20260701,,,9.0,2026-03-09,2026-03-19,2026-03-29,,
3M_close_midhold,3M,close,000004,엔비알모션,2026-01-14,2026-04-14,daily_empty_symbol,20260325,20260717,,,,,,,,
3M_close_midhold,3M,close,493330,지에프아이,2026-01-14,2026-04-14,daily_empty_window,20260325,20260717,,,,,,,,
3M_close_midhold,3M,close,000001,덕양에너젠,2026-01-30,2026-04-30,daily_empty_symbol,20260410,20260802,,,,,,,,
3M_close_midhold,3M,close,279570,케이뱅크,2026-03-05,2026-06-05,daily_empty_window,20260516,20260907,,,,,,,,
3M_close_midhold,3M,close,458350,에스팀,2026-03-06,2026-06-06,daily_empty_window,20260517,20260908,,,,,,,,
3M_close_midhold,3M,close,000011,액스비스,2026-03-09,2026-06-09,daily_empty_symbol,20260520,20260911,,,,,,,,
3M_close_midhold,3M,close,000082,카나프테라퓨틱스,2026-03-16,2026-06-16,daily_empty_symbol,20260527,20260918,,,,,,,,
6M_close_midhold,6M,close,232830,아이티센피엔에스,2023-06-29,2023-12-29,ipo_price_missing_for_prev_filter,20231209,20240602,,,,,,,,
6M_close_midhold,6M,close,354320,알멕,2023-06-30,2023-12-30,prev_close_vs_ipo_below_min,20231210,20240603,0.926,2.0,,,,,,
6M_close_midhold,6M,close,440320,오픈놀,2023-06-30,2023-12-30,prev_close_vs_ipo_below_min,20231210,20240603,1.12,2.0,,,,,,
6M_close_midhold,6M,close,274400,이노시뮬레이션,2023-07-06,2024-01-06,prev_close_vs_ipo_below_min,20231217,20240610,1.0613333333333332,2.0,,,,,,
6M_close_midhold,6M,close,378340,필에너지,2023-07-14,2024-01-14,prev_close_vs_ipo_below_min,20231225,20240618,0.6161764705882353,2.0,,,,,,
6M_close_midhold,6M,close,321370,센서뷰,2023-07-19,2024-01-19,prev_close_vs_ipo_below_min,20231230,20240623,0.9915555555555555,2.0,,,,,,
6M_close_midhold,6M,close,456570,아이엠지티,2023-07-19,2024-01-19,ipo_price_missing_for_prev_filter,20231230,20240623,,,,,,,,
6M_close_midhold,6M,close,432430,와이랩,2023-07-20,2024-01-20,prev_close_vs_ipo_below_min,20231231,20240624,1.0366666666666666,2.0,,,,,,
6M_close_midhold,6M,close,406820,뷰티스킨,2023-07-24,2024-01-24,prev_close_vs_ipo_below_min,20240104,20240628,0.16084615384615383,2.0,,,,,,
6M_close_midhold,6M,close,438700,버넥트,2023-07-26,2024-01-26,prev_close_vs_ipo_below_min,20240106,20240630,0.533125,2.0,,,,,,
6M_close_midhold,6M,close,172670,에이엘티,2023-07-27,2024-01-27,prev_close_vs_ipo_below_min,20240107,20240701,0.994,2.0,,,,,,
6M_close_midhold,6M,close,388870,파로스아이바이오,2023-07-27,2024-01-27,prev_close_vs_ipo_below_min,20240107,20240701,1.0114285714285713,2.0,,,,,,
6M_close_midhold,6M,close,462520,조선내화,2023-07-28,2024-01-28,ipo_price_missing_for_prev_filter,20240108,20240702,,,,,,,,
