name_key,name,ipo_price,listing_date,source_kinds
시큐센,시큐센,3000.0,2023-06-29,"new_listing,subscription"
알멕,알멕,50000.0,2023-06-30,"new_listing,subscription"
오픈놀,오픈놀,10000.0,2023-06-30,"new_listing,subscription"
교보스팩14호,교보스팩14호,2000.0,2023-07-06,"new_listing,subscription"
이노시뮬레이션,이노시뮬레이션,15000.0,2023-07-06,"new_listing,subscription"
디비금융스팩11호,디비금융스팩11호,2000.0,2023-07-12,"new_listing,subscription"
필에너지,필에너지,34000.0,2023-07-14,"new_listing,subscription"
센서뷰,센서뷰,4500.0,2023-07-19,"new_listing,subscription"
와이랩,와이랩,9000.0,2023-07-20,"new_listing,subscription"
sk증권스팩9호,SK증권스팩9호,2000.0,2023-07-21,"new_listing,subscription"
뷰티스킨,뷰티스킨,26000.0,2023-07-24,"new_listing,subscription"
버넥트,버넥트,16000.0,2023-07-26,"new_listing,subscription"
에이엘티,에이엘티,25000.0,2023-07-27,"new_listing,subscription"
유안타스팩14호,유안타스팩14호,2000.0,2023-07-27,"new_listing,subscription"
파로스아이바이오,파로스아이바이오,14000.0,2023-07-27,"new_listing,subscription"
시지트로닉스,시지트로닉스,25000.0,2023-08-03,"new_listing,subscription"
엠아이큐브솔루션,엠아이큐브솔루션,12000.0,2023-08-04,"new_listing,subscription"
파두,파두,31000.0,2023-08-07,"new_listing,subscription"
kb스팩26호,KB스팩26호,2000.0,2023-08-10,"new_listing,subscription"
코츠테크놀로지,코츠테크놀로지,13000.0,2023-08-10,"new_listing,subscription"
큐리옥스바이오시스템즈,큐리옥스바이오시스템즈,13000.0,2023-08-10,"new_listing,subscription"
하나스팩28호,하나스팩28호,2000.0,2023-08-10,"new_listing,subscription"
sk증권스팩10호,SK증권스팩10호,2000.0,2023-08-11,"new_listing,subscription"
빅토리콘텐츠,빅토리콘텐츠(구.빅텐츠),23000.0,2023-08-17,"new_listing,subscription"
넥스틸,넥스틸,11500.0,2023-08-21,"new_listing,subscription"
스마트레이더시스템,스마트레이더시스템,8000.0,2023-08-22,"new_listing,subscription"
시큐레터,시큐레터,12000.0,2023-08-24,"new_listing,subscription"
대신밸런스스팩15호,대신밸런스스팩15호,2000.0,2023-08-30,"new_listing,subscription"
한국스팩12호,한국스팩12호,2000.0,2023-08-30,"new_listing,subscription"
유안타스팩11호,유안타스팩11호,2000.0,2023-09-01,"new_listing,subscription"
대신밸런스스팩16호,대신밸런스스팩16호,2000.0,2023-09-04,"new_listing,subscription"
한화플러스스팩4호,한화플러스스팩4호,2000.0,2023-09-07,"new_listing,subscription"
상상인스팩4호,상상인스팩4호,2000.0,2023-09-14,"new_listing,subscription"
인스웨이브시스템즈,인스웨이브시스템즈,24000.0,2023-09-25,"new_listing,subscription"
밀리의서재,밀리의서재,23000.0,2023-09-27,"new_listing,subscription"
신한스팩11호,신한스팩11호,2000.0,2023-10-04,"new_listing,subscription"
한싹,한싹,12500.0,2023-10-04,"new_listing,subscription"
두산로보틱스,두산로보틱스,26000.0,2023-10-05,"new_listing,subscription"
레뷰코퍼레이션,레뷰코퍼레이션,15000.0,2023-10-06,"new_listing,subscription"
아이엠티,아이엠티,14000.0,2023-10-10,"new_listing,subscription"
에이치엠씨아이비스팩6호,에이치엠씨아이비스팩6호,2000.0,2023-10-13,"new_listing,subscription"
퓨릿,퓨릿(구.신디프),10700.0,2023-10-18,"new_listing,subscription"
신성에스티,신성에스티,26000.0,2023-10-19,"new_listing,subscription"
에스엘에스바이오,에스엘에스바이오,7000.0,2023-10-20,"new_listing,subscription"
워트,워트,6500.0,2023-10-26,"new_listing,subscription"
퀄리타스반도체,퀄리타스반도체,17000.0,2023-10-27,"new_listing,subscription"
유진테크놀로지,유진테크놀로지,17000.0,2023-11-02,"new_listing,subscription"
유투바이오,유투바이오,4400.0,2023-11-02,"new_listing,subscription"
kb스팩27호,KB스팩27호,2000.0,2023-11-03,"new_listing,subscription"
쏘닉스,쏘닉스,7500.0,2023-11-07,"new_listing,subscription"
메가터치,메가터치,4800.0,2023-11-09,"new_listing,subscription"
비아이매트릭스,비아이매트릭스,13000.0,2023-11-09,"new_listing,subscription"
컨텍,컨텍,22500.0,2023-11-09,"new_listing,subscription"
큐로셀,큐로셀,20000.0,2023-11-09,"new_listing,subscription"
에스와이스틸텍,에스와이스틸텍,1800.0,2023-11-13,"new_listing,subscription"
에이직랜드,에이직랜드,25000.0,2023-11-13,"new_listing,subscription"
한국스팩13호,한국스팩13호,2000.0,2023-11-13,"new_listing,subscription"
캡스톤파트너스,캡스톤파트너스,4000.0,2023-11-15,"new_listing,subscription"
에코프로머티리얼즈,에코프로머티리얼즈(유가),36200.0,2023-11-17,"new_listing,subscription"
스톰테크,스톰테크,11000.0,2023-11-20,"new_listing,subscription"
동인기연,동인기연(유가),30000.0,2023-11-21,"new_listing,subscription"
에코아이,에코아이,34700.0,2023-11-21,"new_listing,subscription"
그린리소스,그린리소스,17000.0,2023-11-24,"new_listing,subscription"
한선엔지니어링,한선엔지니어링,7000.0,2023-11-24,"new_listing,subscription"
에이에스텍,에이에스텍,28000.0,2023-11-28,"new_listing,subscription"
nh스팩30호,NH스팩30호,2000.0,2023-12-01,"new_listing,subscription"
